ROPERO,PERRO,PERO,OREO,ROP,PRO,ROE,REO,POO
CAMARA,CARMA,MARA,RAMA,CAMA,CARA,MAR,CAR
PATRIA,PIRATA,RATA,PATA,MAPA,TAPA,TIA,RIA,LIA
ANGULO,GALON,LONA,ANGLO,ALGO,ANULO,LAU,NAO,NOA
PESADO,SOPEDA,PAESO,PESO,PESAD,PASO,ESO,PAO,ASE
PERDIZ,REDIZ,DERIZ,PIEDR,DIREZ,PIED,DIEZ,DIZ,RIZ
AGUILA,ALGUA,GALIA,LUGIA,ALGUIA,AGUA,ILA,LAU,ALI
METODO,MOTEDO,DOMO,MEDIO,MODE,METI,TEO,MODO,EMO
NECTAR,CENTRA,TERCA,CRATE,CANTE,RECTA,TEC,TAN,CAR
ESCUDO,CUSO,CUSCO,ECO,CUE,USE,EDO,ESO,EDO
LUCERO,CUELRO,LUCRO,LUCRE,CUERO,ROCE,LOR,LEO,ROE
PUROSA,URPURA,PUPAR,PURO,ROSA,SAR,PAU,OSA,ARO
NUMERO,MORENO,NUMER,UNEMOR,RUMENO,NUME,NUMERO,ROE,RON
TITULO,TOTI,TILITO,TOTU,ITULOT,TILO,TITO,TIO,LOT
PESADO,SOPEDA,PAESO,PESO,PESAD,PASO,ESO,SED,ASE
RAMONA,RAMON,MANO,AMOR,NORA,ROMA,RAM,MOR,NAR
FUERZA,FERUZA,ZAFRE,FAURE,FAZER,FURZA,FEZ,FUE,FAR
ACRATA,CATARA,ARACAT,CARTA,ATACAR,CARAT,ARA,CAT,TAC
